Time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
07:00-08:00,Morning Routine,Morning Routine,Morning Routine,Morning Routine,OFF - Sleep In,Sleep In,Sleep In
08:00-09:00,Commute,Commute,Commute,Commute,Morning Routine,Morning Routine,Morning Routine
09:00-10:00,Metro Study: GRE Verbal + Vocab,Metro Study: GRE Reading,Metro Study: GRE Verbal + Vocab,Metro Study: GRE Reading,GRE Practice Test Start,Free Time,Free Time
10:00-11:00,Office,Office,Office,Office,GRE Practice Test Continue,Research Reading: AI Fundamentals,Weekly Review
11:00-12:00,Office,Office,Office,Office,Test Review & Analysis,Research Reading: Psychology Concepts,Weekly Review
12:00-13:00,Office + Quick GRE Math,Office + Quick GRE Math,Office + Quick GRE Math,Office + Quick GRE Math,Lunch Break,Lunch Break,Lunch Break
13:00-14:00,Office,Office,Office,Office,Deep Research: AI Topics,GRE Math Focus,Light Study/Rest
14:00-15:00,Office,Office,Office,Office,Deep Research: Psychology,GRE Math Practice,Week Prep
15:00-16:00,Office,Office,Office,Office,Writing/Publishing,AI Course Videos,Week Prep
16:00-17:00,Office,Office,Office,Office,Writing/Publishing,AI Course Videos,Podcast Listening
17:00-18:00,Office,Office,Office,Office,Weekly Planning,Practice Writing,Podcast Listening
18:00-19:00,Commute,Commute,Commute,Commute,Free Time,Free Time,Next Week Planning
19:00-20:00,Commute,Commute,Commute,Commute,Free Time,Free Time,Rest
20:00-21:30,Dinner & Rest,Dinner & Rest,Dinner & Rest,Dinner & Rest,Dinner & Rest,Dinner & Rest,Dinner & Rest
21:30-22:30,GRE Quant,GRE Verbal,GRE Quant,GRE Verbal,Light Review,Light Review,Light Review
22:30-23:30,Research Reading,Research Reading,Research Reading,Research Reading,Free Time,Free Time,Prep for Monday
23:30-00:00,Next Day Prep,Next Day Prep,Next Day Prep,Next Day Prep,Free Time,Free Time,Sleep